발표일,실제,예측,이전
2023년 03월 21일 (2월),,,5.10%
2023년 02월 23일 (1월),5.10%,,5.80%
2023년 01월 20일 (12월),6.00%,,6.20%
2022년 12월 22일 (11월),6.30%,,7.30%
2022년 11월 24일 (10월),7.30%,,7.90%
2022년 10월 21일 (9월),8.00%,,8.20%
2022년 09월 23일 (8월),8.40%,,9.20%
2022년 08월 25일 (7월),9.20%,,10.00%
2022년 07월 22일 (6월),9.90%,,9.90%
2022년 06월 23일 (5월),9.70%,,9.70%
2022년 05월 20일 (4월),9.20%,,9.00%
2022년 04월 21일 (3월),8.80%,,8.50%
2022년 03월 23일 (2월),8.40%,,8.90%
2022년 02월 24일 (1월),8.70%,,9.00%
2022년 01월 20일,9.00%,,9.80%
2021년 12월 21일 (11월),9.60%,,9.10%
2021년 11월 19일 (10월),8.90%,,7.60%
2021년 10월 21일 (9월),7.50%,,7.40%
2021년 09월 24일 (8월),7.30%,,7.40%
2021년 08월 20일 (7월),7.10%,,6.60%
2021년 07월 21일 (6월),6.40%,,6.60%
2021년 06월 22일 (5월),6.40%,,6.00%
2021년 05월 21일 (4월),5.60%,,4.10%
2021년 04월 21일 (3월),3.90%,,2.10%
2021년 03월 24일 (2월),2.00%,,0.90%
2021년 02월 19일 (12월),0.80%,,-0.30%
2021년 01월 21일,0.10%,,-0.50%
2020년 12월 22일 (10월),-0.30%,-0.80%,-0.40%
2020년 11월 20일 (10월),-0.60%,-0.10%,-0.40%
2020년 10월 21일 (9월),-0.40%,,-0.50%
2020년 09월 22일 (8월),-0.50%,,-0.80%
2020년 08월 21일 (7월),-0.80%,,-1.00%
2020년 07월 21일 (6월),-0.90%,,-1.80%
2020년 06월 23일 (5월),-1.70%,,-1.70%
2020년 05월 21일 (4월),-1.50%,,-0.50%
2020년 04월 22일 (3월),-0.50%,,0.70%
2020년 03월 20일 (2월),0.70%,,1.10%
2020년 02월 20일 (1월),1.00%,1.40%,0.70%
2020년 01월 21일 (12월),0.70%,0.20%,-0.10%
2019년 12월 20일 (11월),-0.10%,,-0.70%
2019년 11월 20일 (10월),-0.60%,-0.50%,-0.80%
2019년 10월 22일 (9월),-0.70%,-0.70%,-0.60%
2019년 09월 24일 (8월),-0.60%,-0.90%,-0.30%
2019년 08월 21일 (7월),-0.30%,,0.10%
2019년 07월 19일 (6월),0.10%,0.50%,0.40%
2019년 06월 20일 (5월),0.40%,0.80%,0.60%
2019년 05월 21일 (4월),0.60%,0.50%,0.10%
2019년 04월 19일 (3월),0.10%,,-0.20%
2019년 03월 20일 (2월),-0.20%,-0.60%,0.20%
2019년 02월 22일 (1월),0.20%,,0.90%
2019년 01월 22일 (12월),1.00%,,1.50%
2018년 12월 21일 (11월),1.60%,,2.20%
2018년 11월 20일 (10월),2.20%,,2.70%
2018년 10월 23일 (9월),2.70%,,3.00%
2018년 09월 21일 (8월),3.00%,,3.00%
2018년 08월 21일 (7월),2.90%,,2.60%
2018년 07월 20일 (6월),2.60%,,2.20%
2018년 06월 21일 (5월),2.20%,,1.70%
2018년 05월 21일 (4월),1.60%,,1.30%
2018년 04월 19일 (3월),1.40%,,1.30%
2018년 03월 20일 (2월),1.30%,,1.20%
2018년 02월 21일 (1월),1.20%,,2.20%
2018년 01월 22일 (12월),2.30%,,3.10%
2017년 12월 19일 (11월),3.10%,,3.60%
2017년 11월 20일 (10월),3.50%,,3.80%
2017년 10월 23일 (9월),3.60%,3.40%,3.30%
2017년 09월 19일 (8월),3.20%,,3.00%
2017년 08월 21일 (7월),3.00%,,2.80%
2017년 07월 19일 (6월),2.80%,,3.40%
2017년 06월 19일 (5월),3.50%,,3.80%
2017년 05월 22일 (4월),4.00%,,4.30%
2017년 04월 19일 (3월),4.20%,,4.30%
2017년 03월 20일 (2월),4.20%,,3.90%
2017년 02월 20일 (1월),3.70%,,1.80%
2017년 01월 19일 (12월),1.80%,,0.70%
2016년 12월 20일 (11월),0.70%,,-0.10%
2016년 11월 18일 (10월),-0.20%,,-1.10%
2016년 10월 19일 (9월),-1.10%,,-1.80%
2016년 09월 21일 (8월),-1.70%,,-2.50%
2016년 08월 19일 (7월),-2.40%,,-2.70%
2016년 07월 19일 (6월),-2.70%,,-3.00%
2016년 06월 20일 (5월),-3.10%,-2.80%,-3.00%
2016년 05월 19일 (4월),-3.10%,-3.10%,-3.30%
2016년 04월 20일 (3월),-3.30%,,-3.40%
2016년 03월 18일 (2월),-3.40%,-3.70%,-3.30%
2016년 02월 19일 (1월),-3.30%,,-4.00%
2016년 01월 19일 (12월),-3.90%,,-4.70%
2015년 12월 18일 (11월),-4.60%,,-4.60%
2015년 11월 19일 (10월),-4.50%,,-4.60%
2015년 10월 20일 (9월),-4.50%,,-4.50%
2015년 09월 18일 (8월),-4.40%,,-4.00%
2015년 08월 19일 (7월),-4.00%,,-3.60%
2015년 07월 17일 (6월),-3.60%,,-3.50%
2015년 06월 19일 (5월),-3.50%,,-3.60%
2015년 05월 19일 (4월),-3.60%,,-3.70%
2015년 04월 20일 (3월),-3.70%,-1.40%,-3.60%
2015년 03월 19일 (2월),-3.60%,-1.50%,-3.60%
2015년 02월 17일 (1월),-3.60%,,-2.10%
2015년 01월 19일 (12월),-2.00%,,-0.90%
2014년 12월 17일 (11월),-0.90%,,-0.80%
2014년 11월 19일 (10월),-0.70%,-0.50%,-0.40%
2014년 10월 20일 (9월),-0.40%,0.30%,-0.20%
2014년 09월 19일,-0.20%,,0.20%
2014년 08월 19일,0.20%,0.20%,0.10%
2014년 07월 17일,0.10%,,0.00%
2014년 06월 19일,0.00%,,-0.30%
2014년 05월 20일,-0.30%,,-0.50%
2014년 04월 17일,-0.50%,,-0.90%
2014년 03월 19일,-0.90%,,-0.30%
2014년 02월 18일,-0.30%,,-0.40%
2014년 01월 20일,-0.40%,,-0.90%
2013년 12월 17일,-0.90%,,-1.40%
2013년 11월 18일,-1.40%,,-1.80%
2013년 10월 17일,-1.80%,,-1.30%
2013년 09월 17일,-1.30%,,-0.90%
2013년 08월 16일,-0.90%,,-1.40%
2013년 07월 17일,-1.40%,,-2.60%
2013년 06월 18일,-2.60%,,-2.80%
2013년 05월 16일,-2.80%,,-2.40%
2013년 04월 17일,-2.40%,,-1.60%
2013년 03월 18일,-1.60%,,-1.60%
2013년 02월 18일,-1.60%,,-1.20%
2013년 01월 17일,-1.20%,,-0.90%
2012년 12월 10일,-0.20%,,0.20%
2012년 11월 09일,0.20%,,1.00%
2012년 10월 11일,1.00%,,0.30%
2012년 09월 10일,0.30%,,-0.10%
2012년 08월 10일,-0.10%,,0.80%
2012년 07월 09일,0.80%,,1.90%
2012년 06월 11일,1.90%,,2.40%
2012년 05월 08일,2.40%,,2.80%
2012년 04월 01일 (3월),2.40%,,3.10%
2012년 03월 01일 (2월),3.10%,,3.20%
2012년 02월 01일 (1월),3.20%,,4.30%
2012년 01월 01일 (12월),4.30%,,5.10%
2011년 12월 01일 (11월),5.10%,,5.80%
2011년 11월 01일 (10월),5.80%,,6.30%
2011년 10월 01일 (9월),6.30%,,6.90%
2011년 09월 01일 (8월),6.90%,,7.00%
2011년 08월 01일 (7월),7.00%,,7.20%
2011년 07월 01일 (6월),7.20%,,7.50%
2011년 06월 01일 (5월),7.50%,,8.10%
2011년 05월 01일 (4월),8.10%,,8.20%
2011년 04월 01일 (3월),8.20%,,7.40%
2011년 03월 01일 (2월),7.40%,,6.80%
2011년 02월 01일 (1월),6.80%,,5.70%
2011년 01월 01일 (12월),5.70%,,5.20%
